wavelength,n,k
3.00E+002,1.91E+000,5.46E-001
3.01E+002,1.91E+000,5.50E-001
3.02E+002,1.91E+000,5.54E-001
3.03E+002,1.90E+000,5.58E-001
3.04E+002,1.90E+000,5.62E-001
3.05E+002,1.90E+000,5.67E-001
3.06E+002,1.90E+000,5.72E-001
3.07E+002,1.90E+000,5.76E-001
3.08E+002,1.89E+000,5.81E-001
3.09E+002,1.89E+000,5.87E-001
3.10E+002,1.89E+000,5.92E-001
3.11E+002,1.89E+000,5.98E-001
3.12E+002,1.89E+000,6.03E-001
3.13E+002,1.89E+000,6.09E-001
3.14E+002,1.89E+000,6.15E-001
3.15E+002,1.89E+000,6.21E-001
3.16E+002,1.89E+000,6.27E-001
3.17E+002,1.89E+000,6.34E-001
3.18E+002,1.89E+000,6.40E-001
3.19E+002,1.89E+000,6.47E-001
3.20E+002,1.89E+000,6.54E-001
3.21E+002,1.89E+000,6.60E-001
3.22E+002,1.89E+000,6.67E-001
3.23E+002,1.89E+000,6.74E-001
3.24E+002,1.89E+000,6.81E-001
3.25E+002,1.89E+000,6.88E-001
3.26E+002,1.90E+000,6.96E-001
3.27E+002,1.90E+000,7.03E-001
3.28E+002,1.90E+000,7.10E-001
3.29E+002,1.90E+000,7.17E-001
3.30E+002,1.91E+000,7.24E-001
3.31E+002,1.91E+000,7.31E-001
3.32E+002,1.92E+000,7.38E-001
3.33E+002,1.92E+000,7.45E-001
3.34E+002,1.93E+000,7.52E-001
3.35E+002,1.93E+000,7.59E-001
3.36E+002,1.94E+000,7.65E-001
3.37E+002,1.94E+000,7.72E-001
3.38E+002,1.95E+000,7.78E-001
3.39E+002,1.96E+000,7.84E-001
3.40E+002,1.96E+000,7.90E-001
3.41E+002,1.97E+000,7.96E-001
3.42E+002,1.98E+000,8.01E-001
3.43E+002,1.98E+000,8.06E-001
3.44E+002,1.99E+000,8.11E-001
3.45E+002,2.00E+000,8.16E-001
3.46E+002,2.01E+000,8.20E-001
3.47E+002,2.02E+000,8.24E-001
3.48E+002,2.03E+000,8.28E-001
3.49E+002,2.04E+000,8.31E-001
3.50E+002,2.05E+000,8.34E-001
3.51E+002,2.05E+000,8.37E-001
3.52E+002,2.06E+000,8.39E-001
3.53E+002,2.07E+000,8.41E-001
3.54E+002,2.08E+000,8.43E-001
3.55E+002,2.09E+000,8.44E-001
3.56E+002,2.10E+000,8.45E-001
3.57E+002,2.11E+000,8.46E-001
3.58E+002,2.12E+000,8.46E-001
3.59E+002,2.13E+000,8.46E-001
3.60E+002,2.14E+000,8.45E-001
3.61E+002,2.15E+000,8.44E-001
3.62E+002,2.16E+000,8.43E-001
3.63E+002,2.17E+000,8.41E-001
3.64E+002,2.18E+000,8.39E-001
3.65E+002,2.19E+000,8.37E-001
3.66E+002,2.20E+000,8.34E-001
3.67E+002,2.21E+000,8.31E-001
3.68E+002,2.22E+000,8.28E-001
3.69E+002,2.23E+000,8.24E-001
3.70E+002,2.23E+000,8.21E-001
3.71E+002,2.24E+000,8.17E-001
3.72E+002,2.25E+000,8.12E-001
3.73E+002,2.26E+000,8.08E-001
3.74E+002,2.27E+000,8.03E-001
3.75E+002,2.27E+000,7.99E-001
3.76E+002,2.28E+000,7.93E-001
3.77E+002,2.29E+000,7.88E-001
3.78E+002,2.29E+000,7.83E-001
3.79E+002,2.30E+000,7.77E-001
3.80E+002,2.31E+000,7.72E-001
3.81E+002,2.31E+000,7.66E-001
3.82E+002,2.32E+000,7.60E-001
3.83E+002,2.32E+000,7.54E-001
3.84E+002,2.33E+000,7.48E-001
3.85E+002,2.33E+000,7.42E-001
3.86E+002,2.34E+000,7.36E-001
3.87E+002,2.34E+000,7.30E-001
3.88E+002,2.35E+000,7.24E-001
3.89E+002,2.35E+000,7.17E-001
3.90E+002,2.36E+000,7.11E-001
3.91E+002,2.36E+000,7.05E-001
3.92E+002,2.36E+000,6.99E-001
3.93E+002,2.37E+000,6.92E-001
3.94E+002,2.37E+000,6.86E-001
3.95E+002,2.37E+000,6.80E-001
3.96E+002,2.37E+000,6.74E-001
3.97E+002,2.38E+000,6.68E-001
3.98E+002,2.38E+000,6.62E-001
3.99E+002,2.38E+000,6.55E-001
4.00E+002,2.38E+000,6.50E-001
4.02E+002,2.39E+000,6.38E-001
