wavelength,n,k
301.41754,1.5393475,6.55E-006
303.01373,1.5388672,5.90E-006
304.61,1.5383986,5.31E-006
306.20624,1.5379409,4.77E-006
307.80255,1.5374932,4.29E-006
309.39886,1.5370549,3.85E-006
310.99524,1.5366249,3.46E-006
312.5916,1.5362023,3.11E-006
314.18805,1.5357865,2.80E-006
315.7845,1.5353765,2.52E-006
317.38095,1.5349717,2.27E-006
318.97748,1.5345715,2.04E-006
320.57397,1.5341754,1.84E-006
322.17053,1.5337826,1.66E-006
323.76712,1.5333928,1.50E-006
325.3637,1.5330058,1.35E-006
326.96036,1.5326219,1.22E-006
328.557,1.5322407,1.10E-006
330.1537,1.5318627,9.93E-007
331.7504,1.5314878,8.96E-007
333.3471,1.5311162,8.09E-007
334.94388,1.5307482,7.30E-007
336.54065,1.5303841,6.60E-007
338.13745,1.5300242,5.97E-007
339.73428,1.5296687,5.41E-007
341.33112,1.5293179,4.91E-007
342.92798,1.528972,4.47E-007
344.52487,1.5286312,4.08E-007
346.12177,1.5282958,3.74E-007
347.71872,1.5279658,3.44E-007
349.31567,1.5276414,3.18E-007
350.91266,1.5273229,2.96E-007
352.5096,1.52701,2.76E-007
354.10663,1.5267028,2.59E-007
355.70367,1.5264012,2.45E-007
357.30072,1.5261049,2.33E-007
358.89777,1.525814,2.23E-007
360.49484,1.5255284,2.15E-007
362.09198,1.5252479,2.08E-007
363.68906,1.5249722,2.03E-007
365.2862,1.5247012,1.99E-007
366.88336,1.5244347,1.96E-007
368.48053,1.5241723,1.94E-007
370.0777,1.523914,1.93E-007
371.6749,1.5236596,1.92E-007
373.27213,1.5234088,1.92E-007
374.86932,1.5231614,1.93E-007
376.46658,1.5229174,1.94E-007
378.06384,1.5226766,1.95E-007
379.6611,1.5224388,1.97E-007
381.25836,1.5222038,1.98E-007
382.85568,1.5219716,2.00E-007
384.45297,1.5217419,2.01E-007
386.0503,1.5215149,2.02E-007
387.64764,1.5212903,2.03E-007
389.24496,1.5210681,2.05E-007
390.84235,1.5208484,2.05E-007
392.4397,1.520631,2.06E-007
394.03705,1.5204159,2.07E-007
395.63446,1.520203,2.07E-007
397.23184,1.5199925,2.07E-007
398.82922,1.519784,2.07E-007
400.42664,1.5195779,2.07E-007
402.02405,1.519374,2.07E-007
403.6215,1.5191723,2.06E-007
405.21893,1.518973,2.06E-007
406.81635,1.5187758,2.05E-007
408.4138,1.5185809,2.04E-007
410.01123,1.5183882,2.04E-007
411.6087,1.5181978,2.03E-007
413.2062,1.5180095,2.02E-007
414.80365,1.5178236,2.02E-007
416.40112,1.5176399,2.01E-007
417.9986,1.5174583,2.00E-007
419.5961,1.5172789,1.99E-007
421.19354,1.5171019,1.99E-007
422.79108,1.5169269,1.98E-007
424.38858,1.5167542,1.98E-007
425.98602,1.5165834,1.98E-007
427.58356,1.5164149,1.97E-007
429.18106,1.5162483,1.97E-007
430.77856,1.5160838,1.97E-007
432.37607,1.5159214,1.97E-007
433.97357,1.5157608,1.97E-007
435.57104,1.5156021,1.97E-007
437.16855,1.5154452,1.97E-007
438.76605,1.5152904,1.97E-007
440.3636,1.5151372,1.98E-007
441.9611,1.5149857,1.98E-007
443.5586,1.514836,1.98E-007
445.1561,1.5146878,1.99E-007
446.75357,1.5145413,1.99E-007
448.35107,1.5143962,2.00E-007
449.94858,1.5142527,2.00E-007
451.54605,1.5141106,2.01E-007
453.14355,1.5139698,2.02E-007
454.74103,1.5138304,2.02E-007
456.33853,1.5136924,2.03E-007
457.93597,1.5135556,2.04E-007
459.53345,1.5134201,2.04E-007
461.13092,1.5132859,2.05E-007
462.72836,1.5131527,2.05E-007
464.32584,1.5130206,2.06E-007
465.92328,1.5128897,2.07E-007
467.5207,1.5127599,2.07E-007
469.1181,1.512631,2.08E-007
470.71558,1.5125033,2.08E-007
472.313,1.5123764,2.09E-007
473.9104,1.5122505,2.09E-007
475.50775,1.5121257,2.10E-007
477.10516,1.5120018,2.10E-007
478.70255,1.5118788,2.10E-007
480.2999,1.5117568,2.11E-007
481.89728,1.5116357,2.11E-007
483.49463,1.5115155,2.11E-007
485.09195,1.5113962,2.12E-007
486.6893,1.5112778,2.12E-007
488.28662,1.5111604,2.12E-007
489.88388,1.5110437,2.12E-007
491.4812,1.5109279,2.12E-007
493.07846,1.5108131,2.13E-007
494.67572,1.5106992,2.13E-007
496.273,1.5105861,2.13E-007
497.8702,1.5104741,2.13E-007
499.46744,1.5103629,2.13E-007
501.06464,1.5102526,2.13E-007
502.66187,1.5101433,2.14E-007
504.25903,1.5100349,2.14E-007
505.8562,1.5099275,2.14E-007
507.4533,1.5098209,2.14E-007
509.05048,1.5097154,2.14E-007
510.6476,1.5096108,2.15E-007
512.2447,1.5095071,2.15E-007
513.84174,1.5094044,2.15E-007
515.43884,1.5093026,2.16E-007
517.0359,1.5092019,2.16E-007
518.63293,1.509102,2.17E-007
520.22986,1.5090032,2.17E-007
521.82684,1.5089053,2.18E-007
523.4238,1.5088083,2.18E-007
525.0208,1.5087123,2.19E-007
526.61774,1.5086173,2.19E-007
528.2146,1.5085232,2.20E-007
529.8115,1.5084301,2.21E-007
531.4083,1.508338,2.22E-007
533.0052,1.5082468,2.22E-007
534.602,1.5081565,2.23E-007
536.19885,1.5080673,2.24E-007
537.79553,1.5079788,2.25E-007
539.39233,1.5078913,2.26E-007
540.9891,1.5078046,2.28E-007
542.58575,1.5077188,2.29E-007
544.18243,1.5076339,2.30E-007
545.77905,1.5075499,2.31E-007
547.3757,1.5074667,2.32E-007
548.9723,1.5073842,2.34E-007
550.5689,1.5073026,2.35E-007
552.1654,1.5072218,2.37E-007
553.7619,1.5071418,2.38E-007
555.35846,1.5070626,2.40E-007
556.9549,1.5069841,2.41E-007
558.55133,1.5069064,2.43E-007
560.14777,1.5068294,2.45E-007
561.74414,1.506753,2.46E-007
563.34045,1.5066773,2.48E-007
564.9368,1.5066023,2.50E-007
566.5331,1.5065278,2.52E-007
568.12933,1.506454,2.53E-007
569.7256,1.5063808,2.55E-007
571.3218,1.5063081,2.57E-007
572.91797,1.5062358,2.59E-007
574.5141,1.5061642,2.61E-007
576.1102,1.5060931,2.63E-007
577.70624,1.5060225,2.65E-007
579.3023,1.5059522,2.67E-007
580.8983,1.5058825,2.69E-007
582.49426,1.5058132,2.71E-007
584.0902,1.5057443,2.73E-007
585.68616,1.5056759,2.75E-007
587.28204,1.5056078,2.77E-007
588.8778,1.5055401,2.79E-007
590.47363,1.5054728,2.81E-007
592.06946,1.5054057,2.83E-007
593.66516,1.505339,2.85E-007
595.26086,1.5052726,2.87E-007
596.8565,1.5052066,2.89E-007
598.45215,1.5051408,2.91E-007
600.0477,1.5050753,2.93E-007
601.64325,1.5050101,2.95E-007
603.2388,1.5049452,2.97E-007
604.8342,1.5048804,2.99E-007
606.4296,1.5048159,3.01E-007
608.025,1.5047517,3.03E-007
609.6204,1.5046875,3.05E-007
611.2157,1.5046238,3.07E-007
612.811,1.5045601,3.09E-007
614.4062,1.5044967,3.11E-007
616.0014,1.5044334,3.13E-007
617.59656,1.5043703,3.14E-007
619.19165,1.5043075,3.16E-007
620.78674,1.5042448,3.18E-007
622.3817,1.5041823,3.20E-007
623.9767,1.5041201,3.22E-007
625.57166,1.504058,3.24E-007
627.16656,1.5039961,3.26E-007
628.76135,1.5039344,3.27E-007
630.3562,1.5038728,3.29E-007
631.9509,1.5038115,3.31E-007
633.54565,1.5037502,3.33E-007
635.1403,1.5036892,3.35E-007
636.7349,1.5036284,3.36E-007
638.32947,1.5035676,3.38E-007
639.924,1.5035071,3.40E-007
641.5185,1.5034467,3.41E-007
643.1129,1.5033865,3.43E-007
644.70734,1.5033265,3.45E-007
646.30164,1.5032667,3.47E-007
647.89594,1.5032071,3.48E-007
649.4902,1.5031476,3.50E-007
651.08435,1.5030884,3.52E-007
652.6785,1.5030293,3.53E-007
654.2726,1.5029706,3.55E-007
655.86664,1.5029119,3.56E-007
657.46063,1.5028536,3.58E-007
659.05457,1.5027955,3.60E-007
660.6485,1.5027376,3.61E-007
662.2423,1.50268,3.63E-007
663.83606,1.5026226,3.65E-007
665.4298,1.5025655,3.66E-007
667.0235,1.5025085,3.68E-007
668.61707,1.5024519,3.70E-007
670.2107,1.5023956,3.71E-007
671.8042,1.5023395,3.73E-007
673.39764,1.5022837,3.74E-007
674.9911,1.5022281,3.76E-007
676.5844,1.502173,3.78E-007
678.17773,1.502118,3.79E-007
679.77094,1.5020633,3.81E-007
681.36414,1.5020089,3.83E-007
682.9573,1.5019548,3.84E-007
684.55035,1.501901,3.86E-007
686.1434,1.5018475,3.88E-007
687.73627,1.5017943,3.90E-007
689.3292,1.5017414,3.91E-007
690.922,1.5016888,3.93E-007
692.5148,1.5016366,3.95E-007
694.10754,1.5015846,3.96E-007
695.7002,1.501533,3.98E-007
697.2928,1.5014818,4.00E-007
698.8854,1.5014307,4.02E-007
700.47784,1.5013801,4.04E-007
702.0702,1.5013298,4.05E-007
703.6626,1.5012797,4.07E-007
705.2549,1.5012301,4.09E-007
706.8471,1.5011808,4.11E-007
708.43933,1.5011318,4.13E-007
710.0314,1.5010831,4.15E-007
711.6234,1.5010349,4.17E-007
713.21545,1.5009868,4.18E-007
714.8073,1.5009391,4.20E-007
716.39923,1.5008919,4.22E-007
717.99097,1.500845,4.24E-007
719.5827,1.5007983,4.26E-007
721.1744,1.5007521,4.28E-007
722.766,1.5007061,4.30E-007
724.3575,1.5006605,4.32E-007
725.9489,1.5006152,4.34E-007
727.54034,1.5005703,4.36E-007
729.13165,1.5005258,4.38E-007
730.7229,1.5004816,4.40E-007
732.3141,1.5004376,4.43E-007
733.9052,1.5003941,4.45E-007
735.4963,1.5003508,4.47E-007
737.0873,1.500308,4.49E-007
738.67816,1.5002655,4.51E-007
740.269,1.5002233,4.53E-007
741.85974,1.5001814,4.55E-007
743.4505,1.5001398,4.58E-007
745.04114,1.5000987,4.60E-007
746.6317,1.5000578,4.62E-007
748.22217,1.5000173,4.64E-007
749.8126,1.499977,4.67E-007
751.40295,1.4999372,4.69E-007
