wavelength,n,k
301.41754,1.5368605273,0.0110321473
303.01373,1.5361726879,0.010997812
304.61,1.5354981254,0.0109637053
306.20624,1.5348366679,0.0109295999
307.80255,1.5341873672,0.0108963903
309.39886,1.533551053,0.0108632871
310.99524,1.5329268799,0.010830182
312.5916,1.5323148106,0.0107979851
314.18805,1.5317147646,0.0107667918
315.7845,1.5311249983,0.0107356933
317.38095,1.5305471109,0.0107045938
318.97748,1.529979451,0.0106734938
320.57397,1.5294227845,0.0106433169
322.17053,1.5288762476,0.0106141456
323.76712,1.5283388369,0.010585051
325.3637,1.5278114208,0.0105559566
326.96036,1.5272940533,0.0105268613
328.557,1.5267858102,0.0104987049
330.1537,1.5262866161,0.0104706122
331.7504,1.5257964909,0.0104434657
333.3471,1.5253144679,0.0104163763
334.94388,1.5248404822,0.0103892861
336.54065,1.5243755089,0.010362196
338.13745,1.5239186199,0.010336064
339.73428,1.5234688217,0.0103099763
341.33112,1.5230270425,0.0102848547
342.92798,1.5225933037,0.0102597699
344.52487,1.5221666461,0.0102346851
346.12177,1.5217470339,0.0102096001
347.71872,1.5213344485,0.0101854933
349.31567,1.5209279438,0.0101604286
350.91266,1.5205294277,0.0101373144
352.5096,1.5201370144,0.0101132464
354.10663,1.5197506057,0.0100901557
355.70367,1.5193702509,0.0100670759
357.30072,1.5189969299,0.0100439956
358.89777,1.5186296701,0.010020919
360.49484,1.5182674546,0.0099988423
362.09198,1.5179112592,0.0099767642
363.68906,1.5175611114,0.0099547016
365.2862,1.5172159857,0.0099336097
366.88336,1.5168759064,0.0099115527
368.48053,1.5165418487,0.0098904781
370.0777,1.5162128206,0.0098694316
371.6749,1.5158888221,0.0098493279
373.27213,1.515569824,0.0098282882
374.86932,1.5152549349,0.0098082165
376.46658,1.5149459955,0.0097881444
378.06384,1.5146411255,0.0097681183
379.6611,1.5143412422,0.0097489995
381.25836,1.5140453926,0.009728981
382.85568,1.5137536085,0.0097099111
384.45297,1.5134668152,0.0096908422
386.0503,1.5131840344,0.0096718368
387.64764,1.5129052906,0.0096537026
389.24496,1.5126305701,0.0096347047
390.84235,1.5123597965,0.009616638
392.4397,1.5120922096,0.0095985717
394.03705,1.5118295681,0.0095805878
395.63446,1.5115708687,0.0095634378
397.23184,1.5113151918,0.0095454614
398.82922,1.511062631,0.0095283981
400.42664,1.5108140897,0.0095113341
402.02405,1.5105694787,0.0094942703
403.6215,1.5103278878,0.0094772063
405.21893,1.5100894272,0.0094601421
406.81635,1.5098548818,0.009443191
408.4138,1.5096233586,0.0094271304
410.01123,1.509394861,0.0094110701
411.6087,1.5091693788,0.0093950093
413.2062,1.5089469053,0.0093789474
414.80365,1.5087274684,0.0093630186
416.40112,1.5085110487,0.0093478253
417.9986,1.5082975139,0.0093319038
419.5961,1.5080862748,0.009316846
421.19354,1.5078787755,0.0093017885
422.79108,1.507673428,0.0092867298
424.38858,1.5074709591,0.0092716719
425.98602,1.5072706656,0.0092566141
427.58356,1.5070733831,0.0092417184
429.18106,1.506878962,0.009227497
430.77856,1.5066865553,0.0092126093
432.37607,1.5064963322,0.0091985543
433.97357,1.5063091363,0.0091844995
435.57104,1.5061245999,0.0091704448
437.16855,1.5059414418,0.0091563899
438.76605,1.5057611147,0.0091425252
440.3636,1.5055829893,0.0091292791
441.9611,1.5054074953,0.0091154221
443.5586,1.5052334097,0.0091023703
445.1561,1.5050621457,0.0090891127
446.75357,1.5048928954,0.0090752673
448.35107,1.5047256573,0.0090622154
449.94858,1.5045604323,0.0090491633
451.54605,1.5043972278,0.0090363337
453.14355,1.5042358035,0.009024059
454.74103,1.5040758515,0.0090112371
456.33853,1.503918685,0.0089989542
457.93597,1.5037633022,0.0089861404
459.53345,1.5036091652,0.008974092
461.13092,1.5034570438,0.0089620435
462.72836,1.5033069414,0.0089499952
464.32584,1.5031588457,0.0089379462
465.92328,1.5030125115,0.0089258975
467.5207,1.502867445,0.0089138485
469.1181,1.5027243992,0.0089020666
470.71558,1.5025830879,0.0088907504
472.313,1.5024430656,0.0088789762
473.9104,1.5023047823,0.0088676525
475.50775,1.5021677894,0.0088558865
477.10516,1.5020325211,0.0088448413
478.70255,1.5018985502,0.0088337959
480.2999,1.5017665978,0.0088227506
481.89728,1.5016363577,0.0088117049
483.49463,1.5015071297,0.0088006596
485.09195,1.5013792157,0.0087896141
486.6893,1.5012530041,0.0087788803
488.28662,1.5011277999,0.0087685226
489.88388,1.5010039289,0.0087577974
491.4812,1.5008820676,0.0087474312
493.07846,1.5007615664,0.0087367139
494.67572,1.5006417316,0.0087266722
496.273,1.5005235728,0.0087162932
497.8702,1.5004064267,0.0087055885
499.46744,1.5002906306,0.0086955465
501.06464,1.5001765024,0.0086855046
502.66187,1.5000633784,0.0086758161
504.25903,1.4999512662,0.0086664204
505.8562,1.4998405225,0.0086563782
507.4533,1.4997310649,0.0086463362
509.05048,1.4996223423,0.0086366643
510.6476,1.4995152639,0.0086272513
512.2447,1.4994088141,0.008617588
513.84174,1.4993031336,0.0086081667
515.43884,1.4991990771,0.0085985116
517.0359,1.4990964226,0.0085894733
518.63293,1.4989949942,0.0085804351
520.22986,1.4988939677,0.0085713971
521.82684,1.4987939465,0.0085623588
523.4238,1.4986949336,0.0085533204
525.0208,1.4985973376,0.0085442817
526.61774,1.4985009261,0.0085352431
528.2146,1.4984049389,0.0085262047
529.8115,1.4983099564,0.008517166
531.4083,1.4982159862,0.008508558
533.0052,1.4981230173,0.0085000886
534.602,1.4980310607,0.0084914889
536.19885,1.4979401099,0.008483011
537.79553,1.4978497268,0.0084744202
539.39233,1.4977602382,0.0084659335
540.9891,1.4976718567,0.0084573506
542.58575,1.4975843994,0.0084493162
544.18243,1.4974980278,0.0084412817
545.77905,1.4974121272,0.0084327782
547.3757,1.4973272302,0.0084242124
548.9723,1.4972428653,0.0084161776
550.5689,1.4971589807,0.0084081427
552.1654,1.497076595,0.0084001082
553.7619,1.4969947526,0.0083920734
555.35846,1.4969133824,0.0083845335
556.9549,1.4968335346,0.0083770035
558.55133,1.4967541906,0.0083689687
560.14777,1.4966753529,0.0083614419
561.74414,1.4965970116,0.0083538986
563.34045,1.4965197059,0.0083458638
564.9368,1.4964433728,0.0083383501
566.5331,1.496367565,0.0083307936
568.12933,1.4962922392,0.008323289
569.7256,1.4962174429,0.0083162581
571.3218,1.4961436576,0.0083086885
572.91797,1.4960708806,0.0083011967
574.5141,1.4959985626,0.0082941658
576.1102,1.495926798,0.008287135
577.70624,1.4958554885,0.008279548
579.3023,1.4957852983,0.0082720737
580.8983,1.4957154282,0.0082650428
582.49426,1.4956462594,0.008258012
584.0902,1.4955779605,0.0082509812
585.68616,1.495509658,0.0082439501
587.28204,1.4954419393,0.008237502
588.8778,1.4953752335,0.0082308884
590.47363,1.4953095335,0.0082238575
592.06946,1.4952442431,0.0082168262
593.66516,1.4951789561,0.0082103959
595.26086,1.4951142742,0.0082037644
596.8565,1.4950506005,0.0081967334
598.45215,1.4949873194,0.0081903161
600.0477,1.4949246606,0.0081836714
601.64325,1.4948623849,0.0081772631
603.2388,1.4948007347,0.0081706089
604.8342,1.4947394659,0.0081642098
606.4296,1.4946788324,0.0081575471
608.025,1.4946192063,0.0081511566
609.6204,1.4945599417,0.0081451297
611.2157,1.4945006786,0.0081384534
612.811,1.4944420687,0.0081320761
614.4062,1.4943838129,0.0081260496
616.0014,1.494326217,0.0081200228
617.59656,1.4942689627,0.0081139961
619.19165,1.4942123811,0.0081079694
620.78674,1.4941561301,0.0081019425
622.3817,1.4941005636,0.008095916
623.9767,1.494045318,0.0080898892
625.57166,1.4939907599,0.0080838622
627.16656,1.4939365174,0.0080778353
628.76135,1.4938829771,0.0080718087
630.3562,1.4938297393,0.0080657818
631.9509,1.4937765044,0.0080597552
633.54565,1.4937239778,0.0080544402
635.1403,1.4936717464,0.0080487015
636.7349,1.4936202361,0.0080426748
638.32947,1.4935690083,0.008036648
639.924,1.4935185097,0.008031351
641.5185,1.4934682847,0.0080255942
643.1129,1.4934180623,0.0080203062
644.70734,1.4933685806,0.0080145405
646.30164,1.493319361,0.0080092613
647.89594,1.493270142,0.0080034868
649.4902,1.4932216785,0.0079982165
651.08435,1.4931742263,0.0079924331
652.6785,1.493126249,0.0079871718
654.2726,1.4930788037,0.0079813792
655.86664,1.493032369,0.0079761271
657.46063,1.4929853838,0.0079711047
659.05457,1.4929389575,0.0079660823
660.6485,1.4928935376,0.0079602717
662.2423,1.4928483371,0.0079550375
663.83606,1.4928031364,0.0079500152
665.4298,1.4927587359,0.0079449927
667.0235,1.492713732,0.0079399702
668.61707,1.4926701522,0.0079341375
670.2107,1.4926261437,0.0079289254
671.8042,1.4925827658,0.007923903
673.39764,1.4925395754,0.0079188809
