wavelength,n,k
301.41754,2,0
303.01373,2,0
304.61,2,0
306.20624,2,0
307.80255,2,0
309.39886,2,0
310.99524,2,0
312.5916,2,0
314.18805,2,0
315.7845,2,0
317.38095,2,0
318.97748,2,0
320.57397,2,0
322.17053,2,0
323.76712,2,0
325.3637,2,0
326.96036,2,0
328.557,2,0
330.1537,2,0
331.7504,2,0
333.3471,2,0
334.94388,2,0
336.54065,2,0
338.13745,2,0
339.73428,2,0
341.33112,2,0
342.92798,2,0
344.52487,2,0
346.12177,2,0
347.71872,2,0
349.31567,2,0
350.91266,2,0
352.5096,2,0
354.10663,2,0
355.70367,2,0
357.30072,2,0
358.89777,2,0
360.49484,2,0
362.09198,2,0
363.68906,2,0
365.2862,2,0
366.88336,2,0
368.48053,2,0
370.0777,2,0
371.6749,2,0
373.27213,2,0
374.86932,2,0
376.46658,2,0
378.06384,2,0
379.6611,2,0
381.25836,2,0
382.85568,2,0
384.45297,2,0
386.0503,2,0
387.64764,2,0
389.24496,2,0
390.84235,2,0
392.4397,2,0
394.03705,2,0
395.63446,2,0
397.23184,2,0
398.82922,2,0
400.42664,2,0
402.02405,2,0
403.6215,2,0
405.21893,2,0
406.81635,2,0
408.4138,2,0
410.01123,2,0
411.6087,2,0
413.2062,2,0
414.80365,2,0
416.40112,2,0
417.9986,2,0
419.5961,2,0
421.19354,2,0
422.79108,2,0
424.38858,2,0
425.98602,2,0
427.58356,2,0
429.18106,2,0
430.77856,2,0
432.37607,2,0
433.97357,2,0
435.57104,2,0
437.16855,2,0
438.76605,2,0
440.3636,2,0
441.9611,2,0
443.5586,2,0
445.1561,2,0
446.75357,2,0
448.35107,2,0
449.94858,2,0
451.54605,2,0
453.14355,2,0
454.74103,2,0
456.33853,2,0
457.93597,2,0
459.53345,2,0
461.13092,2,0
462.72836,2,0
464.32584,2,0
465.92328,2,0
467.5207,2,0
469.1181,2,0
470.71558,2,0
472.313,2,0
473.9104,2,0
475.50775,2,0
477.10516,2,0
478.70255,2,0
480.2999,2,0
481.89728,2,0
483.49463,2,0
485.09195,2,0
486.6893,2,0
488.28662,2,0
489.88388,2,0
491.4812,2,0
493.07846,2,0
494.67572,2,0
496.273,2,0
497.8702,2,0
499.46744,2,0
501.06464,2,0
502.66187,2,0
504.25903,2,0
505.8562,2,0
507.4533,2,0
509.05048,2,0
510.6476,2,0
512.2447,2,0
513.84174,2,0
515.43884,2,0
517.0359,2,0
518.63293,2,0
520.22986,2,0
521.82684,2,0
523.4238,2,0
525.0208,2,0
526.61774,2,0
528.2146,2,0
529.8115,2,0
531.4083,2,0
533.0052,2,0
534.602,2,0
536.19885,2,0
537.79553,2,0
539.39233,2,0
540.9891,2,0
542.58575,2,0
544.18243,2,0
545.77905,2,0
547.3757,2,0
548.9723,2,0
550.5689,2,0
552.1654,2,0
553.7619,2,0
555.35846,2,0
556.9549,2,0
558.55133,2,0
560.14777,2,0
561.74414,2,0
563.34045,2,0
564.9368,2,0
566.5331,2,0
568.12933,2,0
569.7256,2,0
571.3218,2,0
572.91797,2,0
574.5141,2,0
576.1102,2,0
577.70624,2,0
579.3023,2,0
580.8983,2,0
582.49426,2,0
584.0902,2,0
585.68616,2,0
587.28204,2,0
588.8778,2,0
590.47363,2,0
592.06946,2,0
593.66516,2,0
595.26086,2,0
596.8565,2,0
598.45215,2,0
600.0477,2,0
601.64325,2,0
603.2388,2,0
604.8342,2,0
606.4296,2,0
608.025,2,0
609.6204,2,0
611.2157,2,0
612.811,2,0
614.4062,2,0
616.0014,2,0
617.59656,2,0
619.19165,2,0
620.78674,2,0
622.3817,2,0
623.9767,2,0
625.57166,2,0
627.16656,2,0
628.76135,2,0
630.3562,2,0
631.9509,2,0
633.54565,2,0
635.1403,2,0
636.7349,2,0
638.32947,2,0
639.924,2,0
641.5185,2,0
643.1129,2,0
644.70734,2,0
646.30164,2,0
647.89594,2,0
649.4902,2,0
651.08435,2,0
652.6785,2,0
654.2726,2,0
655.86664,2,0
657.46063,2,0
659.05457,2,0
660.6485,2,0
662.2423,2,0
663.83606,2,0
665.4298,2,0
667.0235,2,0
668.61707,2,0
670.2107,2,0
671.8042,2,0
673.39764,2,0
674.9911,2,0
676.5844,2,0
678.17773,2,0
679.77094,2,0
681.36414,2,0
682.9573,2,0
684.55035,2,0
686.1434,2,0
687.73627,2,0
689.3292,2,0
690.922,2,0
692.5148,2,0
694.10754,2,0
695.7002,2,0
