wavelength,n,k
3.014175399999999740e+02,1.594590448965548468e+00,0.000000000000000000e+00
3.030137300000000096e+02,1.593882154462011203e+00,0.000000000000000000e+00
3.046100000000000136e+02,1.593173048648319101e+00,0.000000000000000000e+00
3.062062399999999798e+02,1.592463855964401764e+00,0.000000000000000000e+00
3.078025499999999965e+02,1.591753736767026250e+00,0.000000000000000000e+00
3.093988600000000133e+02,1.591043523756408895e+00,0.000000000000000000e+00
3.109952400000000239e+02,1.590333268913203035e+00,0.000000000000000000e+00
3.125916000000000281e+02,1.589622139128636924e+00,0.000000000000000000e+00
3.141880499999999756e+02,1.588911761016873481e+00,0.000000000000000000e+00
3.157844999999999800e+02,1.588199684428804881e+00,0.000000000000000000e+00
3.173809499999999844e+02,1.587488322772206306e+00,0.000000000000000000e+00
3.189774800000000141e+02,1.586776115426668410e+00,0.000000000000000000e+00
3.205739699999999743e+02,1.586063832182333488e+00,0.000000000000000000e+00
3.221705299999999852e+02,1.585351529024758177e+00,0.000000000000000000e+00
3.237671199999999772e+02,1.584638284239663353e+00,0.000000000000000000e+00
3.253636999999999944e+02,1.583924969937790639e+00,0.000000000000000000e+00
3.269603599999999801e+02,1.583210697036189440e+00,0.000000000000000000e+00
3.285570000000000164e+02,1.582497292635415276e+00,0.000000000000000000e+00
3.301537000000000148e+02,1.581782995350725196e+00,0.000000000000000000e+00
3.317504000000000133e+02,1.581067704998740053e+00,0.000000000000000000e+00
3.333471000000000117e+02,1.580353294112657014e+00,0.000000000000000000e+00
3.349438799999999787e+02,1.579637009036979345e+00,0.000000000000000000e+00
3.365406500000000278e+02,1.578921582888301867e+00,0.000000000000000000e+00
3.381374500000000012e+02,1.578205218963310452e+00,0.000000000000000000e+00
3.397342800000000125e+02,1.577488809640952505e+00,0.000000000000000000e+00
3.413311199999999985e+02,1.577143281847473988e+00,0.000000000000000000e+00
3.429279799999999909e+02,1.576866437995024794e+00,0.000000000000000000e+00
3.445248700000000213e+02,1.576591508313901935e+00,0.000000000000000000e+00
3.461217700000000264e+02,1.576316577238214389e+00,0.000000000000000000e+00
3.477187200000000189e+02,1.576041632331549369e+00,0.000000000000000000e+00
3.493156700000000114e+02,1.575765714933431649e+00,0.000000000000000000e+00
3.509126600000000167e+02,1.575490746049698965e+00,0.000000000000000000e+00
3.525095999999999776e+02,1.575215813131078280e+00,0.000000000000000000e+00
3.541066299999999956e+02,1.574940854430614490e+00,0.000000000000000000e+00
3.557036699999999882e+02,1.574664907668885672e+00,0.000000000000000000e+00
3.573007200000000125e+02,1.574389947489525543e+00,0.000000000000000000e+00
3.588977699999999800e+02,1.574114986928864424e+00,0.000000000000000000e+00
3.604948400000000106e+02,1.573839035419593690e+00,0.000000000000000000e+00
3.620919799999999782e+02,1.573564052365597155e+00,0.000000000000000000e+00
3.636890599999999836e+02,1.573288106206511605e+00,0.000000000000000000e+00
3.652862000000000080e+02,1.573013121166176198e+00,0.000000000000000000e+00
3.668833599999999819e+02,1.572737141881167755e+00,0.000000000000000000e+00
3.684805299999999875e+02,1.572461190682705290e+00,0.000000000000000000e+00
3.700776999999999930e+02,1.572186184702898171e+00,0.000000000000000000e+00
3.716748999999999796e+02,1.571910198399269154e+00,0.000000000000000000e+00
3.732721300000000042e+02,1.571634212087281712e+00,0.000000000000000000e+00
3.748693200000000161e+02,1.571358227551219899e+00,0.000000000000000000e+00
3.764665800000000218e+02,1.571082236015786338e+00,0.000000000000000000e+00
3.780638400000000274e+02,1.570806239175565944e+00,0.000000000000000000e+00
3.796610999999999763e+02,1.570530242760074913e+00,0.000000000000000000e+00
3.812583599999999819e+02,1.570254250722449285e+00,0.000000000000000000e+00
3.828556800000000067e+02,1.569978238917690616e+00,0.000000000000000000e+00
3.844529699999999934e+02,1.569702180843262962e+00,0.000000000000000000e+00
3.860502999999999929e+02,1.569425228316667864e+00,0.000000000000000000e+00
3.876476400000000240e+02,1.569149222301394753e+00,0.000000000000000000e+00
3.892449599999999919e+02,1.568873138305439285e+00,0.000000000000000000e+00
3.908423500000000104e+02,1.568596191130084083e+00,0.000000000000000000e+00
