wavelength,n,k
241.143356,2.501448,1.035264
242.734009,2.50815,1.02039
244.324661,2.514513,1.005703
245.915359,2.520549,0.991204
247.506058,2.526269,0.976893
249.096802,2.531685,0.962769
250.687546,2.536806,0.948834
252.27832,2.541643,0.935086
253.86911,2.546206,0.921526
255.45993,2.550504,0.908152
257.050751,2.554548,0.894966
258.641602,2.558345,0.881965
260.232483,2.561905,0.869149
261.823364,2.565235,0.856518
263.414276,2.568345,0.84407
265.005188,2.571241,0.831806
266.59613,2.573931,0.819723
268.187103,2.576424,0.807821
269.778076,2.578725,0.796099
271.36908,2.580841,0.784555
272.960083,2.58278,0.773189
274.551117,2.584548,0.761999
276.142151,2.586152,0.750984
277.733215,2.587596,0.740143
279.32431,2.588888,0.729474
280.915405,2.590033,0.718977
282.5065,2.591036,0.708649
284.097626,2.591903,0.69849
285.688782,2.59264,0.688498
287.279907,2.593251,0.678672
288.871063,2.593741,0.669011
290.46225,2.594116,0.659512
292.053436,2.59438,0.650175
293.644653,2.594537,0.640997
295.23587,2.594593,0.631979
296.827087,2.594551,0.623118
298.418335,2.594415,0.614412
300.009583,2.594191,0.605861
301.600861,2.593882,0.597463
303.192139,2.593492,0.589216
304.783417,2.593024,0.581119
306.374725,2.592484,0.573171
307.966034,2.591873,0.56537
309.557373,2.591197,0.557714
311.148682,2.590458,0.550203
312.740051,2.58966,0.542834
314.33136,2.588806,0.535607
315.92276,2.5879,0.528519
317.514099,2.586945,0.52157
319.105499,2.585944,0.514757
320.696869,2.584901,0.508081
322.288269,2.583818,0.501538
323.879669,2.582699,0.495128
325.471069,2.581546,0.48885
327.0625,2.580363,0.482701
328.6539,2.579153,0.47668
330.245331,2.577917,0.470787
331.836792,2.57666,0.465019
333.428223,2.575385,0.459376
335.019684,2.574093,0.453856
336.611145,2.572788,0.448457
338.202576,2.571472,0.443178
339.794037,2.570149,0.438018
341.385529,2.568821,0.432975
342.97699,2.567491,0.428048
344.568481,2.566161,0.423236
346.159973,2.564835,0.418538
347.751434,2.563515,0.413951
349.342957,2.562205,0.409474
350.934418,2.560906,0.405107
352.52594,2.559623,0.400847
354.117401,2.558357,0.396694
355.708923,2.557113,0.392646
357.300415,2.555892,0.3887
358.891907,2.554699,0.384857
360.483429,2.553537,0.381114
362.074921,2.552408,0.377469
363.666443,2.551318,0.373921
365.257965,2.550268,0.370468
366.849457,2.549263,0.367108
368.440979,2.548308,0.363839
370.032471,2.547405,0.360658
371.623962,2.54656,0.357563
373.215485,2.545776,0.354551
374.806976,2.545059,0.351619
376.398499,2.544412,0.348763
377.98999,2.543841,0.34598
379.581482,2.54335,0.343264
381.173004,2.542944,0.340612
382.764465,2.542628,0.338017
384.355988,2.542407,0.335474
385.947449,2.542285,0.332976
387.538971,2.542266,0.330516
389.130432,2.542355,0.328086
390.721924,2.542555,0.325678
392.313416,2.542869,0.323281
393.904846,2.543299,0.320888
395.496338,2.543849,0.318486
397.087799,2.544517,0.316066
398.67926,2.545305,0.313615
400.270691,2.546212,0.311123
401.862122,2.547235,0.308576
403.453583,2.548371,0.305963
405.045013,2.549617,0.303271
406.636414,2.550965,0.300488
408.227844,2.55241,0.297602
409.819275,2.553943,0.294602
411.410706,2.555555,0.291476
413.002045,2.557235,0.288215
414.593445,2.558971,0.284808
416.184814,2.56075,0.281248
417.776215,2.562559,0.277528
419.367584,2.564383,0.273641
420.958923,2.566205,0.269583
422.550232,2.568011,0.26535
424.141602,2.569784,0.260942
425.73291,2.571508,0.256358
427.324219,2.573165,0.2516
428.915527,2.574741,0.246671
430.506836,2.576217,0.241575
432.098083,2.577579,0.23632
433.689362,2.578812,0.230912
435.280609,2.579902,0.225362
436.871887,2.580835,0.219678
438.463135,2.581599,0.213873
440.054352,2.582184,0.20796
441.645569,2.582578,0.201951
443.236725,2.582775,0.195862
444.827942,2.582767,0.189707
446.419098,2.582547,0.1835
448.010254,2.582113,0.177259
449.601379,2.581461,0.170999
451.192535,2.58059,0.164735
452.7836,2.5795,0.158483
454.374695,2.578192,0.152259
455.965759,2.576669,0.146078
457.556824,2.574936,0.139953
459.147888,2.572996,0.1339
460.738922,2.570856,0.127931
462.329987,2.568523,0.122058
463.920959,2.566005,0.116294
465.511963,2.563312,0.11065
467.102875,2.560451,0.105134
468.693848,2.557434,0.099756
470.28476,2.55427,0.094524
471.875671,2.55097,0.089444
473.466614,2.547546,0.084523
475.057465,2.544008,0.079765
476.648346,2.540368,0.075174
478.239166,2.536637,0.070753
479.829987,2.532826,0.066504
481.420746,2.528946,0.062429
483.011566,2.525008,0.058527
484.602295,2.521023,0.054799
486.193054,2.516999,0.051243
487.783752,2.512948,0.047857
489.374451,2.508878,0.044639
490.965149,2.504799,0.041587
492.555756,2.500718,0.038695
494.146393,2.496644,0.035962
495.737,2.492583,0.033381
497.327576,2.488543,0.03095
498.918152,2.48453,0.028662
500.508698,2.480549,0.026513
502.099213,2.476606,0.024497
503.689697,2.472706,0.022609
505.280182,2.468853,0.020844
506.870605,2.465049,0.019196
508.461029,2.4613,0.01766
510.051422,2.457607,0.016229
511.641785,2.453973,0.014899
513.232117,2.4504,0.013665
514.822449,2.446889,0.01252
516.41272,2.443442,0.011459
518.003052,2.44006,0.010479
519.593262,2.436743,0.009573
521.183472,2.433493,0.008737
522.773682,2.430308,0.007968
524.363831,2.427188,0.007259
525.953979,2.424134,0.006608
527.544067,2.421146,0.00601
529.134155,2.418221,0.005461
530.724182,2.41536,0.004959
532.314209,2.412562,0.004499
533.904175,2.409825,0.004078
535.494141,2.407149,0.003694
537.084106,2.404531,0.003343
538.67395,2.401972,0.003024
540.263855,2.39947,0.002733
541.853699,2.397022,0.002468
543.443481,2.394629,0.002228
545.033325,2.392288,0.002009
546.623047,2.389999,0.001811
548.212769,2.387759,0.001631
549.802429,2.385567,0.001468
551.39209,2.383423,0.001321
552.981689,2.381324,0.001187
554.571289,2.379269,0.001067
556.160828,2.377257,0.000958
557.750366,2.375287,0.00086
559.339844,2.373357,0.000771
560.929321,2.371465,0.000691
562.518677,2.369612,0.000619
564.108093,2.367796,0.000555
565.697449,2.366015,0.000497
567.286743,2.364268,0.000444
568.876099,2.362555,0.000397
570.465271,2.360874,0.000355
572.054565,2.359224,0.000317
573.643677,2.357605,0.000283
575.232788,2.356015,0.000253
576.821899,2.354454,0.000226
578.411011,2.35292,0.000201
580.000061,2.351413,0.000179
581.588989,2.349933,0.00016
583.177979,2.348477,0.000142
584.766907,2.347046,0.000127
586.355774,2.345639,0.000113
587.94458,2.344254,0.0001
589.533386,2.342893,0.000089
591.122192,2.341553,0.00008
592.710876,2.340234,0.000071
594.299561,2.338936,0.000063
595.888245,2.337658,0.000056
597.476807,2.3364,0.00005
599.065369,2.33516,0.000044
600.653931,2.33394,0.000039
602.242371,2.332737,0.000035
603.830811,2.331552,0.000031
605.419189,2.330384,0.000027
607.007568,2.329232,0.000024
608.595886,2.328097,0.000021
610.184143,2.326978,0.000019
611.772339,2.325874,0.000017
613.360535,2.324786,0.000015
614.94873,2.323712,0.000013
616.536804,2.322653,0.000012
618.124878,2.321608,0.00001
619.712891,2.320577,0.000009
621.300842,2.31956,0.000008
622.888794,2.318555,0.000007
624.476685,2.317564,0.000006
626.064453,2.316585,0.000006
627.652222,2.315619,0.000005
629.23999,2.314664,0.000004
630.827698,2.313722,0.000004
632.415344,2.312791,0.000003
634.00293,2.311872,0.000003
635.590515,2.310964,0.000003
637.17804,2.310067,0.000002
638.765503,2.30918,0.000002
640.352905,2.308305,0.000002
641.940247,2.307439,0.000002
643.527588,2.306584,0.000001
645.114868,2.305738,0.000001
646.702026,2.304903,0.000001
648.289246,2.304076,0.000001
649.876343,2.30326,0.000001
651.46344,2.302453,0.000001
653.050415,2.301654,0.000001
654.63739,2.300865,0.000001
656.224365,2.300084,0.000001
657.811218,2.299312,0
659.398071,2.298549,0
660.984802,2.297793,0
662.571533,2.297046,0
664.158203,2.296307,0
665.744812,2.295576,0
667.33136,2.294853,0
668.917847,2.294137,0
670.504333,2.293429,0
672.090698,2.292728,0
673.677124,2.292035,0
675.263367,2.291348,0
676.849609,2.290669,0
678.435791,2.289997,0
680.021912,2.289331,0
681.608032,2.288672,0
683.194031,2.28802,0
684.779968,2.287375,0
686.365906,2.286736,0
687.951782,2.286103,0
689.537537,2.285476,0
691.123291,2.284855,0
692.708984,2.284241,0
694.294617,2.283633,0
695.880188,2.28303,0
697.465698,2.282433,0
699.051147,2.281842,0
700.636597,2.281256,0
702.221863,2.280676,0
703.80719,2.280102,0
705.392395,2.279533,0
706.977539,2.278969,0
708.562622,2.27841,0
710.147705,2.277857,0
711.732666,2.277309,0
713.317627,2.276766,0
714.902466,2.276227,0
716.487244,2.275694,0
718.072021,2.275165,0
719.656677,2.274642,0
721.241333,2.274122,0
722.825806,2.273608,0
724.410339,2.273098,0
725.994751,2.272593,0
727.579163,2.272092,0
729.163452,2.271595,0
730.747681,2.271103,0
732.331848,2.270615,0
733.915955,2.270131,0
735.5,2.269652,0
737.083984,2.269177,0
738.667847,2.268705,0
740.25177,2.268238,0
741.835571,2.267775,0
743.41925,2.267315,0
745.002869,2.26686,0
746.586487,2.266408,0
748.170044,2.26596,0
749.753479,2.265516,0
751.336853,2.265076,0
752.920166,2.264639,0
754.503418,2.264206,0
756.086609,2.263776,0
757.669739,2.26335,0
759.252808,2.262927,0
760.835754,2.262508,0
762.41864,2.262092,0
764.001465,2.26168,0
765.58429,2.261271,0
767.166931,2.260865,0
768.749573,2.260462,0
770.332153,2.260063,0
771.914673,2.259666,0
773.497009,2.259273,0
775.079407,2.258883,0
776.661682,2.258496,0
778.243835,2.258112,0
779.825989,2.257731,0
781.408081,2.257353,0
782.990051,2.256978,0
784.57196,2.256606,0
786.153809,2.256236,0
787.735535,2.25587,0
789.317261,2.255506,0
790.898865,2.255145,0
792.480408,2.254787,0
794.06189,2.254431,0
795.64325,2.254079,0
797.224548,2.253728,0
798.805786,2.253381,0
800.387024,2.253036,0
801.968079,2.252693,0
803.549072,2.252353,0
805.130005,2.252016,0
806.710876,2.251681,0
808.291626,2.251349,0
809.872375,2.251019,0
811.453003,2.250691,0
813.033569,2.250366,0
814.614014,2.250043,0
816.194458,2.249723,0
817.77478,2.249404,0
819.35498,2.249089,0
820.935181,2.248775,0
822.515259,2.248463,0
824.095215,2.248154,0
825.67511,2.247847,0
827.255005,2.247542,0
828.834656,2.24724,0
830.414368,2.246939,0
831.993958,2.246641,0
833.573425,2.246345,0
835.152954,2.24605,0
836.732239,2.245758,0
838.311523,2.245468,0
839.890747,2.245179,0
841.469849,2.244893,0
843.048828,2.244609,0
844.627747,2.244327,0
846.206543,2.244046,0
847.785339,2.243768,0
849.364075,2.243491,0
850.942566,2.243217,0
852.521118,2.242944,0
854.099487,2.242673,0
855.677856,2.242404,0
857.256165,2.242136,0
858.83429,2.241871,0
860.412415,2.241607,0
861.990356,2.241345,0
863.568237,2.241085,0
865.146118,2.240826,0
866.723816,2.240569,0
868.301453,2.240314,0
869.879028,2.24006,0
871.456421,2.239809,0
873.033875,2.239558,0
874.611145,2.23931,0
876.188354,2.239063,0
877.765442,2.238817,0
879.342468,2.238574,0
880.919434,2.238331,0
882.496277,2.238091,0
884.073059,2.237851,0
885.649719,2.237614,0
887.226257,2.237378,0
888.802734,2.237143,0
890.379089,2.23691,0
891.955383,2.236679,0
893.531555,2.236448,0
895.107727,2.23622,0
896.683716,2.235992,0
898.259644,2.235767,0
899.835449,2.235542,0
901.411255,2.235319,0
902.986816,2.235097,0
904.562378,2.234877,0
906.137817,2.234658,0
907.713196,2.234441,0
909.288452,2.234225,0
910.863647,2.23401,0
912.43866,2.233796,0
914.013672,2.233584,0
915.588562,2.233373,0
917.163391,2.233163,0
918.737976,2.232955,0
920.312622,2.232748,0
921.887085,2.232542,0
923.461548,2.232337,0
925.035828,2.232133,0
926.609985,2.231931,0
928.184082,2.23173,0
929.758118,2.23153,0
931.332031,2.231332,0
